DestAddr,DestCode,DestName,Distance,Duration,OrigAddr,OrigCode,OrigName
"8 O St SW, Washington, DC 20024, USA",WAS,Nationals Park,1141582,39060,"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field
"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field,2820540,92174,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field,1147050,38269,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards,1123226,37639,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park,1572134,52359,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field,17397,1490,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field,0,0,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark,468947,15892,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"519 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field,548166,18458,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field,1616064,51814,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium,447714,14877,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park,2209974,71436,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"1500 Texas St, Houston, TX 77002, USA",HOU,Minute Main Park,1735134,57798,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"Lancer Ln, Kansas City, MO 64129, USA",KAN,Kauffman Stadium,822959,27310,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"2000 E Gene Autry Way, Anaheim, CA 92806, USA",LAA,Angel Stadium of Anaheim,3237941,103815,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"Echo Park, Los Angeles, CA, USA",LAD,Dodger Stadium,3248621,104482,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"221 Frederick Miller Way, Milwaukee, WI 53214, USA",MIL,Miller Park,156887,5910,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"499 N 7th St, Minneapolis, MN 55405, USA",MIN,Target Field,666557,22580,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"Boat Basin Pl, Corona, NY 11368, USA",NYM,Citi Field,1286885,43203,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
